'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "malaysia"
Pole, "Kappy Astur(02:01.0910)"
Lasted laps, "5"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "Aviles-Sport", "chawaii_subaru_wrx_sti_gr3", "Kappy Astur", "5", "02:01.0910", "-",
"2",   "", "Team Chermi", "chawaii_subaru_wrx_sti_gr3", "Ezequiel Cherminando", "5", "02:01.1390", "00:00.0480",
"3",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Juan Carlos Ortega", "5", "02:01.1620", "00:00.0710",
"4",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Rafa Alvarez", "5", "02:01.7600", "00:00.6690",
"5",   "", "nrc", "chawaii_subaru_wrx_sti_gr3", "bertillo30", "5", "02:01.8740", "00:00.7830",
"6",   "", "LDR", "chawaii_subaru_wrx_sti_gr3", "Luciano DR.", "5", "02:02.0100", "00:00.9190",
"7",   "", "", "chawaii_subaru_wrx_sti_gr3", "Jucarcaz", "4", "02:02.4430", "00:01.3520",
"8",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Akira", "5", "02:03.8430", "00:02.7520",
"9",   "", "AMC Racing Team", "chawaii_subaru_wrx_sti_gr3", "Josu Puelles", "5", "02:04.8640", "00:03.7730",
"10",   "", "Loa Racing", "chawaii_subaru_wrx_sti_gr3", "Ramiro", "5", "02:06.0580", "00:04.9670",
"11",   "", "GTS92", "chawaii_subaru_wrx_sti_gr3", "Juan José Ruiz García (Mecajota)", "0", "-", "-",
"12",   "", "BMT Racing", "chawaii_subaru_wrx_sti_gr3", "Montoro", "0", "-", "-",
"13",   "", "savepangolines", "chawaii_subaru_wrx_sti_gr3", "PANGOLIN DORMIDO", "0", "-", "-",
"14",   "", "RM Racing", "chawaii_subaru_wrx_sti_gr3", "Juan Izaguirre", "0", "-", "-",
"15",   "", "GIM", "chawaii_subaru_wrx_sti_gr3", "Gino Ivan Muchiut", "0", "-", "-",
"16",   "", "AMC Racing Team", "chawaii_subaru_wrx_sti_gr3", "Antonio Martínez", "0", "-", "-",
"17",   "", "LDRT", "chawaii_subaru_wrx_sti_gr3", "Sergio Diaz", "0", "-", "-",
"18",   "", "AuTornay Racing Team", "chawaii_subaru_wrx_sti_gr3", "Kyogren2911", "0", "-", "-",
"19",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Manolo Laguarda", "0", "-", "-",
"20",   "", "ForoAssetto", "chawaii_subaru_wrx_sti_gr3", "Antonio Gomez", "0", "-", "-",
"21",   "", "LOA Racing", "chawaii_subaru_wrx_sti_gr3", "Jose Miguel Romay", "0", "-", "-",
"22",   "", "los difentes racing tream", "chawaii_subaru_wrx_sti_gr3", "enzo diaz cancho", "0", "-", "-",
"23",   "", "", "chawaii_subaru_wrx_sti_gr3", "LOA TV", "0", "-", "-",

Qualify laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Kappy Astur"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:19.9470", "45.6940", "50.3730", "43.8800",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:02.3770", "31.6880", "48.1010", "42.5880",  "F:S - R:S",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:02.5900", "31.8790", "48.5460", "42.1650",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:01.9420", "32.0140", "48.1590", "41.7690",  "F:S - R:S",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:01.0910", "31.4430", "48.0510", "41.5970",  "F:S - R:S",     "0 ",  
Average,,,"02:05.5894", "34.5436", "48.6460", "42.3998"
Best possible,,, "02:01.0910", "31.4430", "48.0510", "41.5970"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Ezequiel Cherminando"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:16.3870", "42.9450", "50.2100", "43.2320",  "F:M - R:M",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:02.4860", "31.9820", "48.4880", "42.0160",  "F:M - R:M",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:01.7640", "31.7720", "48.2670", "41.7250",  "F:M - R:M",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:01.1390", "31.6300", "47.8760", "41.6330",  "F:M - R:M",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:31.5670", "31.6560", "47.8620", "72.0490",  "F:M - R:M",     "1  (0s e.t. <>  0s gain) ",  
Average,,,"02:10.6686", "33.9970", "48.5406", "48.1310"
Best possible,,, "02:01.1250", "31.6300", "47.8620", "41.6330"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,    Cuts, 
"Juan Carlos Ortega"
"1 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:16.8420", "43.8090", "48.6440", "44.3890",  "F:S - R:S",     "0 ",  
"2 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:02.7590", "31.9050", "49.1170", "41.7370",  "F:S - R:S",     "0 ",  
"3 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:02.4930", "31.9790", "48.6810", "41.8330",  "F:S - R:S",     "0 ",  
"4 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:01.1620", "31.7960", "47.8900", "41.4760",  "F:S - R:S",     "0 ",  
"5 ", chawaii_subaru_wrx_sti_gr3, no,"0", "02:02.1400", "31.6140", "48.2800", "42.2460",  "F:S - R:S",     "0 ",  
Average,,,"02:05.0792", "34.2206", "48.5224", "42.3362"
